sample_id,text,language_mix,category_id,primary_institution,urgency,summary,confidence_hint,needs_human_review,notes
EX001,"بغيت نشكي حيت الملف ديالي بقا ثلاثة شهور ومازال ما خرجش من الجماعة",Darija/Arabic,general_administration,"Relevant public administration",medium,"Citizen complains that their file has been delayed for three months at the commune.",medium,yes,"Administrative delay; needs document type if available"
EX002,"أنا بريء من جنحة غسل الأموال وما عنديش علاقة بالحسابات البنكية اللي قالو عليها",Darija/Arabic,financial_crime,"Justice institution / financial investigation authority",high,"Accused person denies involvement in money laundering and bank accounts.",high,yes,"Legal and financial crime context"
EX003,"السيد الرئيس المتهم يؤازره الأستاذ بشعيب في هذا الملف",Arabic/MSA,court_legal,"Justice institution / court clerk",high,"Court statement identifying the accused person's legal representation.",high,yes,"Speaker/person extraction important"
EX004,"عندي مشكل مع عقد الازدياد ديال ولدي الحالة المدنية ما بغاوش يعطيوه ليا",Darija/Arabic,civil_registry,"Commune civil registry office",medium,"Citizen complains about not receiving a child's birth certificate from civil registry.",medium,yes,"Civil registry document issue"
EX005,"كاين انقطاع ديال الماء فالحي ديالنا من البارح وما جا حتى واحد يصلحو",Darija,utilities,"Utility provider",high,"Citizen reports water outage in neighborhood since yesterday with no repair response.",medium,yes,"Potential public-service urgency"
EX006,"تم افتتاح الجلسة باسم جلالة الملك وطبقا للقانون في الملف عدد اثناش على ألفين وثلاثة وعشرين",Arabic/MSA,court_legal,"Justice institution / court clerk",high,"Formal opening of a court hearing with case number.",high,yes,"Formulaic legal phrase"
EX007,"بغيت نشكي على الزبالة ما تزادتش من الزنقة ديالنا جوج سيمانات",Darija,municipal_services,"Commune / municipality",medium,"Citizen reports garbage not collected from the street for two weeks.",high,no,"Clear municipal service complaint"
EX008,"الشرطة دارت محضر ولكن ما عطاونيش نسخة من المحضر",Darija/Arabic,police_security,"Police / gendarmerie",medium,"Citizen says the police made a report but did not provide a copy.",medium,yes,"Police/legal document issue"
EX009,"عندي مشكل فالرخصة ديال البناء الملف بقى واقف فالمقاطعة",Darija/Arabic,land_property,"Land registry / conservation foncière",medium,"Citizen reports a building permit file stuck at the district office.",medium,yes,"Land/property and administrative routing"
EX010,"المستشفى ما بغاوش يستقبلو الوالدة وهي عندها حالة مستعجلة",Darija/Arabic,health,"Hospital administration / health authority",high,"Citizen reports hospital refusal to receive mother in emergency condition.",high,yes,"Health risk"
EX011,"الشركة كتخلصني بلا ضمان اجتماعي وما كاين لا عقد لا تصريح",Darija/Arabic,labor_employment,"Labor inspectorate / employment authority",medium,"Citizen complains employer pays without social security registration, contract, or declaration.",medium,yes,"Labor/social protection issue"
EX012,"عندي شكاية ضد أستاذ فالمؤسسة حيث كيتعامل مع التلاميذ بطريقة غير مقبولة",Darija/Arabic,education,"School or university administration",medium,"Citizen complains about a teacher's inappropriate treatment of students.",medium,yes,"Education case; student concern"
EX013,"المتهم سبق الحكم عليه من أجل الاتجار في المخدرات سنة ألفين واثناش",Arabic/MSA,court_legal,"Justice institution / court clerk",high,"Statement says the accused had a previous conviction for drug trafficking in 2012.",high,yes,"Prior conviction context"
EX014,"كاين تحويلات بنكية كثيرة وفواتير ما بايناش قانونية",Darija/Arabic,financial_crime,"Justice institution / financial investigation authority",high,"Transcript mentions many bank transfers and invoices that appear irregular.",high,yes,"Financial evidence"
EX015,"بغيت نعرف علاش الشكاية ديالي مازال ما تجاوبوش عليها",Darija/Arabic,general_administration,"Relevant public administration",low,"Citizen asks why their complaint has not received a response.",medium,no,"Generic complaint follow-up"
EX016,"المحافظة العقارية مازال ما خرجاتش الشهادة ديال الملكية",Darija/Arabic,land_property,"Land registry / conservation foncière",medium,"Citizen complains land registry has not issued property certificate.",high,yes,"Property document issue"
EX017,"واش يمكن ليا ناخذ نسخة من الحكم ديالي",Darija/Arabic,court_legal,"Justice institution / court clerk",medium,"Citizen asks how to get a copy of their judgment.",high,yes,"Court document request"
EX018,"الفاتورة ديال الضو جات كبيرة بزاف وما فهمتش علاش",Darija,utilities,"Utility provider",low,"Citizen complains electricity bill is unusually high.",high,no,"Utility billing"
EX019,"السي فؤاد قال بأن الشركات والعقارات ماشي ديالو",Darija/Arabic,financial_crime,"Justice institution / financial investigation authority",high,"Person named Fouad denies ownership of companies and real estate.",medium,yes,"Named entity and asset ownership"
EX020,"العمالة رفضات الطلب ديالي بلا سبب واضح",Darija/Arabic,general_administration,"Relevant public administration",medium,"Citizen says the prefecture refused their request without a clear reason.",low,yes,"Needs more context before routing"
