our_category,chikaya_sector,likely_chikaya_destination,route_reason,needs_domain_validation,human_review_default,notes
court_legal,العدل,وزارة العدل / المحكمة المختصة,Legal complaints and court-related issues should go through the justice sector,yes,yes,Needs domain validation because court routing may depend on case type and location
financial_crime,العدل,وزارة العدل / النيابة العامة أو الجهة المختصة بالتحقيق المالي,Financial crime cases involve legal investigation and should not be auto-routed without review,yes,yes,Sensitive category; requires professional validation
civil_registry,الداخلية,الجماعة الترابية / مكتب الحالة المدنية,Civil registry documents are usually handled by local administration or commune services,yes,maybe,Needs exact routing depending on commune and document type
municipal_services,الجماعات الترابية,الجماعة أو المقاطعة المعنية,Local services such as garbage lighting roads and permits are handled by territorial communities,yes,no,Routing depends on geographic location
land_property,الاسكان والتعمير,الوكالة الحضرية / المحافظة العقارية / الجماعة,Property and construction issues may involve urban planning land registry or commune,yes,yes,Often multi-institution and needs human review
police_security,الداخلية,الأمن الوطني / الدرك الملكي / السلطات المحلية,Security complaints may involve police gendarmerie or local authorities,yes,yes,Sensitive category; should be reviewed
health,الصحة,وزارة الصحة / المديرية الجهوية للصحة / المستشفى المعني,Health service complaints should go to health administration or relevant hospital,yes,maybe,Emergency or patient safety complaints should be reviewed
education,التعليم,وزارة التربية الوطنية أو المؤسسة التعليمية المعنية,School university registration scholarship and teacher complaints go to education sector,yes,maybe,Routing depends on school/university level
utilities,البيئة والطاقة والمعادن,المكتب أو المزود المسؤول عن الماء أو الكهرباء,Water electricity energy and utility issues go to utility provider or related public enterprise,yes,no,May also involve commune depending on service provider
transport,التجهيز والنقل,وزارة التجهيز والنقل / الجهة المسؤولة عن النقل,Transport road bus taxi and infrastructure issues go to transport/equipment sector,yes,no,Routing may depend on whether issue is road taxi or public transport
tax_business,الصناعة والتجارة,إدارة الضرائب / السجل التجاري / وزارة الصناعة والتجارة,Business commerce taxes and company administration issues go to commerce or tax authority,yes,maybe,Some tax issues may need finance/tax authority not commerce
social_protection,التشغيل والتقاعد والتأمين الاجتماعي,CNSS / مؤسسة الحماية الاجتماعية / الإدارة المختصة,Social aid pensions insurance and CNSS issues go to social protection sector,yes,maybe,Needs validation depending on benefit type
labor_employment,التشغيل والتقاعد والتأمين الاجتماعي,مفتشية الشغل / وزارة التشغيل / CNSS,Work salary contract employer and social insurance complaints go to labor or CNSS authorities,yes,maybe,Employment disputes may require inspectorate or court
general_administration,وزارات / الجماعات الترابية / المؤسسات العمومية,الإدارة المعنية حسب مضمون الشكاية,Generic administrative delay should be routed based on the institution mentioned,yes,maybe,Needs entity extraction to identify the exact administration
unclear_needs_review,غير محدد,مراجعة بشرية,Unclear transcripts should not be routed automatically,yes,yes,Human review required before routing
